met_id	pat1_Control	pat2_Control	pat3_Control	pat30_Control	pat31_Control	pat32_Control	pat33_Control	pat34_Control	pat35_Control	pat36_Control	pat4_Control	pat5_Control	pat58_Control	pat59_Control	pat6_Control	pat60_Control	pat61_Control	pat63_Control	pat64_Control	pat65_Control	pat66_Control	pat8_Control	pat62_Control	pat7_Control	pat68_AKT1-high	pat75_AKT1-high	pat78_AKT1-high	pat79_AKT1-high	pat80_AKT1-high	pat82_AKT1-high	pat85_AKT1-high	pat12_AKT1-high	pat14_AKT1-high	pat17_AKT1-high	pat20_AKT1-high	pat22_AKT1-high	pat24_AKT1-high	pat26_AKT1-high	pat40_AKT1-high	pat41_AKT1-high	pat44_AKT1-high	pat47_AKT1-high	pat49_AKT1-high	pat54_AKT1-high	pat57_AKT1-high	BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	METABOLON_ID	PLATFORM	KEGG_ID	HMDB_ID
met1	33964.73	117318.43	118856.9	152249.44	86369.12	103162.74	96187.68	137113.67	166823.76	159763.65	78670.7	102565.94	92785.41	168142.05	129628.1	62782.32	92461.41	119107.1	77461.43	97661.43	160981.5	134876.37	110850.1	96872.71	88741.87	156889.11	172949.78	111051.93	163255.13	133086.4	109554.28	113210.17	100803.5	76506.81	137895.63	108490.03	106092.36	57394.17	122911.53	112847.09	101987.32	140704.96	99000.38	104227.66	110469.39	1-arachidonoylglycerophosphoethanolamine*	Lipid	Lysolipid	35186	LC/MS neg	NA	HMDB11517
met2	18505.56	167585.32	59621.97	72477.68	46770.88	74319.37	81418.54	48536.76	89371.51	332595.45	66220.4	74892.27	54563.98	138638.54	62108.16	82866.26	41643.54	52626.75	56712.19	50476.77	74289.48	52103.89	80373.79	35895.74	77536.99	121512.87	94328.94	76520.94	98500.17	79945.95	52573.1	73524.69	65202.09	79774.1	101471.66	86434.43	98558.26	16769.89	84375.58	71313.52	63058.05	102636.87	83615.37	44083.54	62046.37	1-arachidonoylglycerophosphoinositol*	Lipid	Lysolipid	34214	LC/MS neg	NA	NA
met3	NA	42373.93	27141.21	31806.07	NA	NA	20098.93	NA	NA	17309.13	NA	38390.78	NA	NA	NA	NA	NA	NA	NA	NA	29654.75	29411.11	27332.66	20416.45	NA	20689.19	NA	20688.99	33698.45	NA	96761.12	33249.92	30550.27	NA	27939.03	21113.82	31578.23	NA	NA	NA	18456.11	NA	NA	NA	NA	1-arachidonylglycerol	Lipid	Monoacylglycerol	34397	LC/MS neg	C13857	HMDB11572
met4	61638.77	74595.78	NA	NA	NA	NA	15061.08	NA	23736.48	NA	NA	NA	NA	59252.65	388906.94	15829.25	NA	150173.72	NA	NA	NA	NA	NA	NA	21776.81	NA	83201.08	NA	19895.51	NA	687981.81	NA	NA	NA	NA	NA	31659.27	397304.78	NA	NA	NA	NA	NA	80336.46	NA	1-eicosadienoylglycerophosphocholine*	Lipid	Lysolipid	33871	LC/MS pos	NA	NA
met5	NA	148363.61	43861.79	63580.04	NA	NA	71228.95	27576.85	35740.38	28198.33	105835.23	25589.08	61300.71	41755.41	76419.11	37919.16	NA	42620.98	63917.23	67441.68	44257.3	17737.64	134103.65	155988.67	149928.26	51107.01	87542.77	40638.06	200355.72	NA	258818.13	141404.07	67760.85	84050.99	98917.95	59301.12	116631.51	20940.91	58390.55	24698.61	39325.31	87679.58	120223.72	26373.69	110669.09	1-heptadecanoylglycerophosphoethanolamine*	No Super Pathway	No Pathway	37419	LC/MS neg	NA	NA
met6	NA	257380.66	57551.48	187560.35	NA	NA	59918.28	36054.38	61141.75	45556.83	57793.99	99871.48	NA	NA	14122.31	45845.47	NA	43789.68	70126.25	21684.47	33534.57	71484.65	105436.06	15106.61	NA	43314.68	NA	58124.34	50312.06	48485.1	767413.27	127649.12	78176.81	34428.62	72112.03	23168.7	50063.51	108710.41	NA	NA	37570.64	75016.18	77558.92	221181.97	308256.37	1-linoleoylglycerol (1-monolinolein)	Lipid	Monoacylglycerol	27447	LC/MS neg	NA	NA
met7	45656.77	127635.5	24650.68	NA	40358.81	63385.97	NA	52229.65	124854.2	NA	58665.69	NA	NA	70912.01	603801.39	22405.83	NA	109899.87	NA	NA	NA	NA	NA	45800.8	13164.41	NA	123234.88	NA	34616.99	NA	911717.51	205717.77	NA	NA	NA	NA	NA	396372.27	31791.43	155620.38	183371.83	44531.76	NA	164621.01	NA	1-linoleoylglycerophosphocholine	Lipid	Lysolipid	34419	LC/MS pos	C04100	NA
met8	NA	400011.32	34399.47	65090.25	NA	NA	39012.32	NA	NA	34306.41	21746.97	15047.37	44548.74	66149.58	50837.83	65090.25	22721.85	25142.16	22982.74	43324.54	36184.63	26532.24	81019.11	66143.99	108456.63	57961.05	74433.96	39440.32	100178.45	24299.33	315664.13	93365.24	35808.13	36724.12	65090.25	71524.34	39203.92	68862.91	106107.64	36050.78	23194.29	62786.74	72818.69	63325.12	58990.18	1-linoleoylglycerophosphoethanolamine*	Lipid	Lysolipid	32635	LC/MS neg	NA	HMDB11507
met9	23007.99	20796.26	NA	NA	52135.12	43413.47	31220.45	NA	313570.89	66640.57	NA	NA	NA	29946.88	252423.11	67813.94	NA	156247.98	NA	24503.41	NA	NA	35169.06	22510.9	38053.77	NA	106859.44	20615.07	36324.52	NA	788219.15	134513.36	NA	NA	NA	25617.78	77039.81	186876.46	NA	78571.84	37202.03	77465.19	NA	60965.57	NA	1-myristoylglycerophosphocholine	Lipid	Lysolipid	35626	LC/MS pos	NA	HMDB10379
met10	316968.35	399110	NA	72994.57	NA	405145.97	368034.98	50103.28	801053.33	NA	233796.05	71247.78	NA	1071709.93	2476847.59	386590.47	NA	2422324.73	NA	109170.41	291625.16	NA	243896.43	127849.43	262340.42	NA	838914.34	69759	307497.62	NA	4809299.83	1047199.82	45126.43	153685.88	78024.51	NA	386590.47	2115883.05	109176.18	249141.36	519009.9	264690.48	NA	693269.89	NA	1-oleoylglycerophosphocholine	Lipid	Lysolipid	33960	LC/MS pos	C03916	HMDB02815
