	Condition	Sample.name	Bio.Rep
pat1_Control	Control	pat1_Control	1
pat2_Control	Control	pat2_Control	2
pat3_Control	Control	pat3_Control	3
pat30_Control	Control	pat30_Control	4
pat31_Control	Control	pat31_Control	5
pat32_Control	Control	pat32_Control	6
pat33_Control	Control	pat33_Control	7
pat34_Control	Control	pat34_Control	8
pat35_Control	Control	pat35_Control	9
pat36_Control	Control	pat36_Control	10
pat37_Control	Control	pat37_Control	11
pat4_Control	Control	pat4_Control	12
pat5_Control	Control	pat5_Control	13
pat58_Control	Control	pat58_Control	14
pat59_Control	Control	pat59_Control	15
pat6_Control	Control	pat6_Control	16
pat60_Control	Control	pat60_Control	17
pat61_Control	Control	pat61_Control	18
pat62_Control	Control	pat62_Control	19
pat63_Control	Control	pat63_Control	20
pat64_Control	Control	pat64_Control	21
pat65_Control	Control	pat65_Control	22
pat66_Control	Control	pat66_Control	23
pat7_Control	Control	pat7_Control	24
pat8_Control	Control	pat8_Control	25
pat12_AKT1-high	AKT1-high	pat12_AKT1-high	26
pat14_AKT1-high	AKT1-high	pat14_AKT1-high	27
pat17_AKT1-high	AKT1-high	pat17_AKT1-high	28
pat20_AKT1-high	AKT1-high	pat20_AKT1-high	29
pat22_AKT1-high	AKT1-high	pat22_AKT1-high	30
pat24_AKT1-high	AKT1-high	pat24_AKT1-high	31
pat26_AKT1-high	AKT1-high	pat26_AKT1-high	32
pat40_AKT1-high	AKT1-high	pat40_AKT1-high	33
pat41_AKT1-high	AKT1-high	pat41_AKT1-high	34
pat44_AKT1-high	AKT1-high	pat44_AKT1-high	35
pat47_AKT1-high	AKT1-high	pat47_AKT1-high	36
pat49_AKT1-high	AKT1-high	pat49_AKT1-high	37
pat54_AKT1-high	AKT1-high	pat54_AKT1-high	38
pat57_AKT1-high	AKT1-high	pat57_AKT1-high	39
pat68_AKT1-high	AKT1-high	pat68_AKT1-high	40
pat75_AKT1-high	AKT1-high	pat75_AKT1-high	41
pat78_AKT1-high	AKT1-high	pat78_AKT1-high	42
pat79_AKT1-high	AKT1-high	pat79_AKT1-high	43
pat80_AKT1-high	AKT1-high	pat80_AKT1-high	44
pat82_AKT1-high	AKT1-high	pat82_AKT1-high	45
pat85_AKT1-high	AKT1-high	pat85_AKT1-high	46
pat11_high	high	pat11_high	47
pat16_high	high	pat16_high	48
pat43_high	high	pat43_high	49
pat45_high	high	pat45_high	50
pat53_high	high	pat53_high	51
pat74_high	high	pat74_high	52
pat10_low	low	pat10_low	53
pat18_low	low	pat18_low	54
pat19_low	low	pat19_low	55
pat21_low	low	pat21_low	56
pat23_low	low	pat23_low	57
pat25_low	low	pat25_low	58
pat27_low	low	pat27_low	59
pat28_low	low	pat28_low	60
pat29_low	low	pat29_low	61
pat46_low	low	pat46_low	62
pat48_low	low	pat48_low	63
pat50_low	low	pat50_low	64
pat51_low	low	pat51_low	65
pat52_low	low	pat52_low	66
pat55_low	low	pat55_low	67
pat56_low	low	pat56_low	68
pat70_low	low	pat70_low	69
pat71_low	low	pat71_low	70
pat73_low	low	pat73_low	71
pat76_low	low	pat76_low	72
pat77_low	low	pat77_low	73
pat81_low	low	pat81_low	74
pat83_low	low	pat83_low	75
pat84_low	low	pat84_low	76
pat13_MYC-high	MYC-high	pat13_MYC-high	77
pat15_MYC-high	MYC-high	pat15_MYC-high	78
pat38_MYC-high	MYC-high	pat38_MYC-high	79
pat39_MYC-high	MYC-high	pat39_MYC-high	80
pat42_MYC-high	MYC-high	pat42_MYC-high	81
pat67_MYC-high	MYC-high	pat67_MYC-high	82
pat69_MYC-high	MYC-high	pat69_MYC-high	83
pat72_MYC-high	MYC-high	pat72_MYC-high	84
pat86_MYC-high	MYC-high	pat86_MYC-high	85
