id	IntCond1	IntCond1	IntCond2	IntCond2
0	40679000	33460000	23513000	47514000
1	22472000	20529000	18878000	27066000
2	24181000	22307000	21765000	29650000
3	17831000	15288000	21161000	24255000
4	25557000	29942000	22358000	22992000
5	NA	NA	NA	NA
6	26948000	20690000	20022000	32127000
7	145130000	152030000	161860000	174660000
8	3750600	3680100	9091600	3803000
9	2288700000	2308300000	2457900000	2481200000
10	56216000	56733000	57767000	57121000
11	55116000	55531000	55141000	55985000
12	NA	NA	NA	10604000
13	NA	24846000	21564000	19663000
14	43910000	41853000	42121000	53375000
15	64318000	64018000	69304000	68975000
16	33044000	30683000	44981000	30866000
17	154570000	160330000	161860000	170290000
18	67461000	65409000	63535000	64638000
